si_jun_excel_raw_number,growth_rate_per_hr,estim_SA_over_V,estim_aspect_ratio,source_cell_length_um,source_cell_width_um,source_cell_volume_um3,estim_C_plus_D_hrs,RNA_prot_ratio,nutrient_type,cm_type,useless_type,cm_uM,source
202,1.71,4.306,4.0089,4.2863,1.0739,3.4,1.37,0.37865,28,0,0,0,Si 2017
203,1.63,4.473,3.9774,4.0983,1.035,3,1.35,0.51026,28,1,0,1,Si 2017
204,0.98,4.87,4.1282,3.886,0.94542,2.39,1.88,0.56153,28,1,0,2,Si 2017
205,0.96,5.107,4.0063,3.6082,0.90573,2.02,2.05,0.48854,28,1,0,4,Si 2017
206,0.78,5.111,3.6121,3.3043,0.92187,1.89,2.48,0.64794,28,1,0,6,Si 2017
207,0.55,4.619,4.2042,4.1663,0.99688,2.85,3.92,0.58241,28,1,0,8,Si 2017
208,0.38,4.273,3.609,3.9563,1.1062,3.26,6.12,0.89182,28,1,0,10,Si 2017
209,0.21,4.299,4.0165,4.3231,1.082,3.5,11.44,0.88215,28,1,0,12,Si 2017
241,1.51,6.0025,4.6614,3.5191,0.75937,1.42,1.13,0.40246,29,0,0,0,Si 2017
242,1.34,5.9997,4.6452,3.4912,0.75758,1.4,1.32,0.56218,29,1,0,1,Si 2017
243,1.17,6.0251,4.4244,3.3361,0.75903,1.33,1.38,0.46102,29,1,0,2,Si 2017
244,0.86,6.1566,4.3805,3.2298,0.74347,1.24,2,0.48224,29,1,0,4,Si 2017
245,0.69,5.9842,4.2364,3.2264,0.76802,1.31,2.5,0.5656,29,1,0,6,Si 2017
246,0.54,6.1404,4.1342,3.0834,0.75287,1.2,2.91,0.48408,29,1,0,8,Si 2017
247,0.51,5.9546,3.992,3.0924,0.78129,1.29,3.57,0.77346,29,1,0,10,Si 2017
248,0.31,6.0751,3.8593,2.9391,0.76797,1.18,5.76,0.70426,29,1,0,12,Si 2017
300,1.03,6.2728,3.7971,2.8031,0.74277,1.04,1.1,0.25967,30,0,0,0,Si 2017
301,0.87,6.5012,3.7134,2.6563,0.71949,0.93,1.16,0.31193,30,1,0,1,Si 2017
302,0.75,6.5616,3.6062,2.5693,0.71653,0.89,1.22,0.36882,30,1,0,2,Si 2017
303,0.67,6.687,3.4736,2.4445,0.70806,0.82,1.4,0.322,30,1,0,3,Si 2017
304,0.54,6.7065,3.3853,2.3872,0.70931,0.8,1.59,0.35202,30,1,0,4,Si 2017
305,0.46,6.7415,3.4141,2.3914,0.70435,0.79,2.2,0.48583,30,1,0,6,Si 2017
306,0.34,6.5799,3.3875,2.4349,0.72242,0.84,2.93,0.57601,30,1,0,8,Si 2017
307,0.25,6.5332,3.5093,2.5252,0.72319,0.88,4.9,0.55822,30,1,0,10,Si 2017
328,0.65,7.7214,4.2886,2.5282,0.59351,0.61,1.39,0.1879,31,0,0,0,Si 2017
329,0.59,7.4914,3.5909,2.2437,0.62833,0.59,1.61,0.24382,31,1,0,1,Si 2017
330,0.46,7.3939,3.3415,2.1433,0.64486,0.59,2.08,0.26195,31,1,0,2,Si 2017
331,0.43,7.1891,3.3381,2.2014,0.66268,0.64,2.55,0.32811,31,1,0,3,Si 2017
332,0.34,7.1123,3.4687,2.2971,0.66584,0.68,3.02,0.34688,31,1,0,4,Si 2017
333,0.31,7.0138,3.5393,2.369,0.67322,0.72,3.22,0.33786,31,1,0,5,Si 2017
334,0.27,6.9887,3.4954,2.3523,0.67647,0.72,3.29,0.46106,31,1,0,5.5,Si 2017
335,0.24,6.8689,3.3843,2.3321,0.69251,0.74,3.85,0.3806,31,1,0,6,Si 2017
343,0.36,8.2154,3.5897,2.0452,0.57288,0.45,2.05,0.15037,32,0,0,0,Si 2017
344,0.32,8.369,3.6462,2.0357,0.56201,0.43,2.21,0.15723,32,1,0,0.2,Si 2017
345,0.28,8.4656,3.481,1.9347,0.55856,0.4,2.68,0.17325,32,1,0,0.4,Si 2017
346,0.23,8.5469,3.2939,1.8331,0.55947,0.38,3.22,0.18064,32,1,0,0.6,Si 2017
347,0.21,8.4034,3.1212,1.7873,0.57527,0.39,3.43,0.16904,32,1,0,0.8,Si 2017
